No.,Name of the Organization,District of HQs/Physical Address,GEOGRAPHICAL AREA OF COVERAGE,KEY ACTIVITIES/OBJECTIVES,REG NUMBER,PERMIT NUMBER
2215,JEWISH RESPONSE UGANDA,"MBALE DISTRICT, BUGWERE CELL MALUKU WARD ,INDUSTRIAL DIVISION P.O. BOX 53, MBALE",COUNTRYWIDE,TO FIGHT POVERTY AND PROMOTE EDUCATION,INDR145962488NB,INDP0002488NB
2216,JF WELL WORKS AFRICA,LIRA; OGWEN MACKENZIE DRIVE OJWINA DIVISION; P.O. BOX 267 LIRA,LIRA,"PROVIDE SAFE CLEAN WATER SPURCES, SUPPORT AGRICULTURE AND CONSERVATION OF NATURA",INDR154844531NB,INDP0004531NB
2217,JHPIEGO CORPORATION,"KAMPALA, PLOT 36, LOWER NAGURU ,EAST ROAD, NAKAWA DIVISION DIVISION",COUNTRYWIDE,TO IMPROVE HEALTH AND SAVE LIVES OF WOMEN AND FAMILIES IN LIMITED RESOURCES SETT,INTR100505726NB,INTP95495726NB
2218,JINJA AREA COMMUNITIES FEDERATION,,,,INDR7978714NB,INDP7427714NB
2219,JINJA DEAF S.D.A GROUP,"JINJA; C/O SEVENTH-DAY ADVENTIST CHURCH JINJA PLOT 270A, NIZAM ZONE, KUTCH ROAD",JINJA,TO MOBILIZE AND ADVOCATE FOR THE DEAF AT THE GRASSROOT FOR COLLECTIVE ACTION IN,INDR13465809NB,INDP000809NB
2220,JINJA EDUCATIONAL TRUST,JINJA; PLOT 6 KYAGWE ROAD. P.O. BOX 2206 JINJA,COUNTRYWIDE,PROMOTING EDUCATIONAL TRAINING OF YOURHS IN UGANDA; PROVIDE WELFARE TO THE NEEDY,INDR7950888NB,INDP703888NB
2221,JINJA KAWEMPE MUSLIM ASSOCIATION,,,,INDR104662932NB,INDP100292932NB
2222,JINJA MUNICIPALITY EAST DEVELOPMENT INITIATIVE,"JINJA DISTRICT,PLOT86,MAINSTREET JINJA FLR 2",JINJA,"TO EDUCATE COMMUNITIES ON MALARIA ERADICTION,ENVIRONMENTAL PRESERVATION AND PREV",INDR145272412NB,INDP0002412NB
2223,JIREH AFRICA MISSIONS,KAMPALA; NATETE - MUTUNDWE; P.O. BOX 16490 WANDEGEYA,KAMPALA,"TO PROVIDE ACCESS TO CLEAN WATER THROUGH DRILLING BOREHOLES,WATER DAMS,WATER HAR",INDR155284577NB,INDP0004577NB
2224,JIREH GOD OUR PROVIDER CHILDREN'S PROJECT,,,,INDR150843877NB,INDP0003877NB
2225,JIVTIBA FOUNDATION,"KAMPALA; KANSANGA OFF GGABA RD NAGANDA LUKULI, TYABA ZONE",KAMPALA,"TO DEVELOP PERSONAL AND LIFE SKILLS, FEED THE ELDERLY AND YOUNG, IMPROVE HEALTH",FORR158645054NB,FORP0005054NB
2226,JJ COMMUNITY TRANFORMATION,"BUSHENYI; NSHUMI PARISH NYAKABARE, KYAMUHUHUNGA,IGARA; P.O BOX 256 KAMP",BUSHENYI,EDUCATION AND IMPROVING ACCESS TO QUALITY AND AFFORDABLE HEALTH SERVICES,INDR1057118NB,INDP1013718NB
2227,JKL DOLPHINS SPORTS CLUB,"PLOT 20,MUHADAYA HOUSE, KIREKA-KIMULIRD P.O.BOX 4660,KAMPALA",KAMPALA,TO SUPPORT ORPHANS AND VULNERABLE GROUPS,REGR142731931NB,REGP0001931NB
2228,JOEL SSENYONYI FOUNDATION,KAMPALA;ESTERI COMPLEX ALONG KAYONDO RD 1ST FLOOR RM B17 MUTOOLA ZONE BUKOTO II,KAMPALA,"PROMOTE HEALTH, EDUCATION, LIVELIHOODS",INDR157454896NB,INDP0004896NB
2229,JOHANNITER UNFALL HILFE (JOHANNITER INTERNTIONAL A,"24217, KAMPALA",KAMAPALA,TO EMERGENCY RESPONSE AND PREPAREDNESS,INTP13201346NB,INTR13445346NB
2230,JOHANNITER-UNFALL-HILFE,KAMPALA; PLOT 4463 BLOCK 244 LUBBOBO CLOSE OFF MUYENGA BUKASA RD,COUNTRYWIDE,STRENGTHENING PEOPLE RESILIENCE THROUGH PROVIDING HEALTH CARE AND IMPROVING WATE,INTR13445346NB,INTP13201346NB
2231,JOHN BAPTIST CARE CENTRE-KITGUM,"KITGUM;MISSION PARISH NYANZA CELL,PONGDWONGO PARISH,PARISH PAGER",KITGUM,"TO CREATE ASAFE PLATFORM AND SPACE,PROMOTE RESOURCE MOBILISATION AND CREATE AWAR",INDR158074949NB,INDP0004949NB
2232,JOHN NSOBYA FOUNDATION,"LUWERO DISTRICT, P.O. BOX 4200, LUWERO",COUNTRYWIDE,TO IMPROVE HEALTH CARE SKILLS AND SANITATION,INDR146202509NB,INDP0002509NB
2233,JOHN PAUL II JUSTICE AND PEACE CENTRE,"KAMPALA; NSAMBYA,KABEGA RD,PLOT 1964, P.O.BOX 3185",KAMPALA,"MAKE CATHOLIC SOCIAL TEACHING MORE KNOWN,UNDERSTOOD AND EFFECTIVE IN THE LIFE OF",INDR96324684NB,INDP93244684NB
2234,JOIN FOR WATER,KAMPALA; PLOT 3437; LUGWANA KAGWA CLOSE BLOCK 244. P.O. BOX 70626 KAMPALA,COUNTRYWIDE,PROMOTING BETTER WATER MANAGEMENT THROUGH TRAINING; AWARENESS CREATION; NETOWRKI,INTR80591037NB,INTP75441037NB
2235,JOINT EFFORT FOR DEVELOPMENT OF ORPHANS AND OTHER,,,,INDR7071765NB,INDP6799765NB
2236,JOINT EFFORT TO SAVE THE ENVIRONMENT,,,,INTR10193881NB,INTP9443881NB
2237,JOINT ENERGY AND ENVIROMENT PROJECT,"KAMPALA; WALUFUMBE ZONE,PLOT 243,KYANJA,7 MILES GAYAZA ROAD",COUNTRY WIDE,"CONSERVATION OF ENVIROMENT,SENSITIZATIONSEMINARS AND TRAINING PROGRAMS",INDR21894683NB,INDP20174683NB
2238,JOINT MEDICAL STORE,"PLOT 1828 GOGONYA ROAD, P.O. BOX 4501, KAMPALA, UGANDA",KAMPALA,TO PROVIDE MEDICAL SUPPLIES AND HEALTH SERVICES,INDR19943528NB,INDP18533528NB
2239,JOINT SUPPORT INITIATIVE AFRICA,KAMPALA; PLOT 50 BUTABIKA RD; P.O. BOX 30156 CLOCK TOWER KAMPALA,COUNTRYWIDE,"TP PROVIDE ACCESS TO NON-DISCRIMINATORY SERVICES TO THE VULNERABLES, PROVIDE COM",INDR158815051NB,INDP0005051NB
2240,JOINT YOUTH GOSPEL INTERNATIONAL MINISTRIES,"KAMPALA; RUBAGA ROAD B VILLAGE LC I, MENGO PARISH KAMPALA CENTRAL DIVISION; P.O.",KAMPALA AND WAKISO,"PROMOTE EDUCATION TO THE YOUTH, EVANGELISM AND THEOLOGICAL INSTITUTIONS, SOCIAL",INDR146402465NB,INDP0002465NB
2241,JOMAS FOUNDATION AFRICA,"KAMWENGE, BIGODI TOWN COUNCIL, KAMWENGE DISTRICT","KAMWENGE, KAMPALA","TO IDENTIFY, PROMOTE, COORDINATE AND SAFEGUARD THE INTERESTS OF ITS MEMBERS, CON",INDR163535703NB,INDP0005703NB
2242,JON KIT VOLUTEERS,"KAMPALA,MAKINDYE DIVISION",KAMPALA,"TO SUPPORT THE NEEDY,SPREED PEACE,PROMOTE ENVIRONMENTAL PROTECTION.",INDR158134992NB,INDP0004992NB
2243,JONALIS MINISTRY,"MBALE; BUGEMA 'A' CELL, BUKASAKYA WARD, INDUSTRIAL CITY DIV; P.O. BOX 672 MBALE",MBALE,SUPPORTING OVCS WITH BASIC NEEDS,FORR162575550NB,FORP0005550NB
2244,JONALIS MINISTRY LTD,"P.O BOX 675, MBALE",COUNTRYWIDE,"TO ESTABLISH AND MAINTAIN CHURCHES IN UGANDA UNTIL THEY BECOME SELF GOVERNING, S",FORR162575550NB,FORP0005550NB
2245,JONARD DEVELOPMENT FOUNDATION,KAMPALA; NAGURU II NAKAWA DIVISION; P.O. BOX 22744 KAMPALA,COUNTRYWIDE,PROVIDE EDUCATION AND HEALTH CARE; CAPACITY BUILDING IN THE COMMUNITY FOR SUSTAI,INDR145632035NB,INDP0002035NB
2246,JONES & BEATRICE EDUCATION FUND,"MASAKA DISTRICT, KIJJABWEMI VILLAGE P.O. BOX 1636, MASAKA",MASAKA,TO SUPPORT EDUCATION OF ORPHANS,INDR146192490NB,INDP0002490NB
2247,JOSEPHINE'S CHARITY FOUNDATION,KAMPALA; BUGOLOBI P.O.BOX 34414,KAMPALA,"PROMOTE,EDUCATE AND EMPOWER THE COMMUNITY THROUGH INFORMING THEM OF THE CHILD CA",INDR155304552NB,INDP0004552NB
2248,JOSHUA CHEPTEGEI DEVELOPMENT FOUNDATION,"KAPCHORWA DISTRICT,SENIOR QUARTERS CELL,CHEPSIKUROI WARD,CENTRAL DIVISION BOX175",KAPCHORWA,TO RUN A FUND THE FOUNDATION TO SUPPORT COMMUNITIES AND PRPMOTE AND NURTURE TAL,INDP149503618NB,INDP0003618NB
2249,JOTHAM CARE MINISTRIES,MUKONO;NAKIFUMA,MUKONO,"TO PROMOTE EVANGELISM,CHILDREN MINISTRY",INDR157995088NB,IND00015799NB
2250,JOTTERS INTERNATIONAL,"KAMPALA; NAJJANAKUMBI VILLAGE, MAKINDYE DIVISION; BOX 34561 KAMPALA",KAMPALA,TO ENSURE THE SUSTANINABILITY OF THE ORGANIZATION AND SMOOTH RUNNING OF THE ORGA,INDR101115543NB,INDP96755543NB
2251,JOURNEY INTERNATIONAL,LIRA; PLOT 910 ERUTE BLOCK I,LIRA,"EDUCATION SUPPORT AND VOCATIONAL TRAINING, LIFE SKILLS",INTR157074872NB,INTP0004872NB
2252,JOURNEY WORTHY WALKING FOUNDATION,"KAMPALA DISTRICT, MAKINDYE DIVISION, BUNGA TRADING CENTRE-GGABA ROAD.P.O.BOX 112",COUNTRYWIDE,TO PROMOTE ASSIST THE YOUTH THROUGH ADVAANCEMENT OF EDUCATION AND EMPLOYMENT SKI,INDR164905838NB,INDP0005838NB
2253,JOY FOR CHILDREN- UGANDA,"KAMPALA; BUKOTO,NSIMBIZIWOME,PLOT 349,CLOCK TOWER P.O.BOX 15383 KAMPALA",KAMPALA,"WORKING WITH CHILDREN,FAMILIES AND COMMUNITIES TO END INJUSTICE AND POVERTY.",INDR66874704NB,INDP62414703NB
2254,JOY INITIATIVES UGANDA,"MPIGI; BWAMULAMIRA VILLAGE, KAMENGO SUB COUNTY",COUNTRYWIDE,AWARENESS CREATION ON HEALTH ISSUES E.G HIV/AIDS; SKILLS DEVELOPMENT FOR SELF RE,INDR11240935NB,INDP10709935NB
2255,JOY INTERNATIONAL INC,"NAKASEKE, KIGERO II CELL, RUKOKI WARD, NYAMUTAMBA DIV. P.O BOX 571, CONIFER CO 8",KASESE,"TO SUPPORT COORDINATION , RESQUE, RESTORATION, AND REINTERGRATION OF SEXUALLY EX",INTR163835649NB,INTP0005649NB
2256,JOY INTERNATIONAL INCORPORATED,,KASESE,"TO RESCUE, RESTORE,REINTEGRATE OF A GIRL CHILD",INTP0005649NB,INTR16385649NB
2257,JOY MAKERS CHARITY FOUNDATION,,JINJA,"PROMOTE AND ADVNCE THE LIVES OF DIASADVANTAGED AND VULNERABLE CHILDREN, YOUTH AN",REGP16352561NB,REGR16352561NB
2258,JOY MAKERS CHARITY FOUNDATION,"JINJA, NAMIZI PARISH, BUDONDO SUB-COUNTY. JINJA NORTH. P.O BOX 1730, JINJA",JINJA,"EDUCATION TO DISADVANTEGED CHILDREN. ESTABLISH HEALTH UNITS, START UP SCHOOLS.",REGR163525616NB,REGP0005616NB
2259,JOY OF COMMUNITY FOUNDATION UGANDA,"KIRUHURA; OMUNGARI TC, OMUNGARI SC, KAZO COUNTY; P.O. BOX 368 IBANDA",KIRUHURA,PROMOTING EDUCATION; TRAINIGN TEACHERS AND STUDENTS/PUPILS ON HUMAN RIGHTS; COMM,INDR140761548NB,INDP0001548NB
2260,JOYCE KAFFOKO FOUNDATION,"PLOT 14 LUKULI, MAKINDYE",KAMPALA,TO REACH OUT TO VULNERANBLES,INDR147022796NB,INDP0002796NB
2261,JOYFUL HEARTS CHILDREN MINISTRIES,"KIKUBAMPANGA LC1 ZONE,KAKIRA TOWN COUNCIL,WAKISO DISTRICT",,,INDR148003141NB,INDP0003141NB
2262,JOY'S CENTRE CORPORATION,"KAMPALA; SPRING ROAD BUGOLOBI, SUITE 16",KIRUHURA,"ADVANCEMENT OF EDUCATION BY ETSBALISHING AND OPERATING PRIMARY, SCONDARY AND POS",INTR137451173NB,INTP0001173NB
2263,JSI RESEARCH AND TRAINING INSTITUTE INC.,"KAMPALA; UAP NAKAWA; BUSINESS PARK; BLOCK B, 4TH FLOOR; P.O. BOX",KAMPALA,"EDUCATIONAL SUPPORT, IMPROVING HEALTH OF INDIVIDUALS AND COMMUNITIES THROUGH PAR",INTR132603941NB,INTP130073941NB
2264,JUBILEE REVIVAL OUTREACH MINISTRIES,P.O BOX 10252 KAMPALKA,COUNTRYWIDE,"PREACH THE GOSPEL, TRAIN KNOWLEDGE AND SKILLS, ORDAINING AND COMMISSIONING",INDR4770328NB,INDP4396328NB
2265,JULIMA WOMEN FOUNDATION,NWOYA; GULU-PAKWAACH RD ANAKA TOWN COUNCIL; P.O. BOX 868 GULU,NWOYA,QUALITY HEALTH AND EDUCATION ACCESS; COMMUNITY EMPOWERMENT,INDR154044460NB,INDP0004460NB
2266,JULIRO CHARITABLE COMMUNITY INTIATIVE,"BUIKWE; MAWOTO NZINGU,NAJJA SUBCOUNTY,P.O.BOX 9000166 JINJA",BUIKWE,"TO CONSERVE,PRESERVE NATURAL RESOURCES BY USING IMPROVED AND MORDERN TECHNOLOGY",FORR161375348NB,FORP0005348NB
2267,JULIUS KALULU FOUNDATION,KAMPALA; LUNGUJJA VILLAGE RUBAGA DIVISION; P.O. BOX 10011 KAMPALA,"KAMPALA, WAKISO",TO STRENGTHEN FORMAL AND NON-FORMAL CHILD PROTECTION AND HEALTH SYSTEMS; BUILD C,INDR152764214NB,INDP0004214NB
2268,JULIUS OTHIENO FOUNDATION AID,WAKISO; PLOT 10689 KIRA MEMERITO RD KIRA DIV; BOX 71269 KAMPALA,WAKISO,"CHURCH PLANTING, SPREADING THE GOSPEL, ESTABLISH AND OPERATE A MISSION TRAINING",INDR158085044NB,INDP0005044NB
2269,JULIUS OUTREACH OKELLO MINISTRIES,"LIRA; ANYWALONINO VILLAGE, 150MTRS EAST 291 SUITS HOTEL, OMITO WARD, ADYEL DIVIS",LIRA,"SUPPORT THE PROVISION OF TRAINING, EDUCATION AND REHABILITATION OF STREET KIDS",INDR156484764NB,INDP0004764NB
2270,JUMA AND ZUKULU MUSLIM GROUP IN UGANDA,"KAMPALA DISTRICT, PLOT NO.169 BLOCK 208 KAWEMPE,KYADONDO,KETI FALAWO ZONE P.O.BO","KAMPALA,MPIGI ,LUWEERO,&WAKISO","TO PROMOTE DEVELOPMENT PROGRAMMS,IN EDUCATION,HEALTH ANDPROVISION OF WELFARE TO",INDR79202190NB,INDP83882190NB
2271,JUNA AMAGARA MINISTRIES UGANDA,"P.O. BOX 1054, MBARARA","KABALE, MBARARA, KAGADI",TO PROMOTE EVANGELISM,INDR52812944NB,INDP49112944NB
2272,JUNIOR ACHIEVEMENT UGANDA,"KAMPALA; 2ND FLOOR,UGANDA HEAITH MARKETING GROUP BUILDING; P.O.BOX 133.",KAMPALA,PROVIDES IN SCHOOL ECONOMIC AND SOCIAL EDUCATION PROGRAMS FACILITATED BY VOLUNTE,INDR85334812NB,INDP80184812NB
2273,JUST HUMANE ORGANISATION,"KAMPALA;PO BOX 29926,RUBAGA DIVISION",KAMPALA,TO CONTRIBUTE TO COMMUNITY WELFARE,FORR161145283NB,FORP0005283NB
2274,JUST LIKE MY CHILD FOUNDATION,LUWERO; KALUDO COMPLEX GROUND FLOOR KASANA LUWERO; P.O. BOX 81 LUWERO,COUNTRYWIDE,EMPOWERING VULNERABLE ADOLESCENTS GIRLS AND BOYS THROUGH LIFE SKILLS; TRAINING A,INDR12786316NB,INDP12492316NB
2275,JUSTICE ACCESS POINT,,,,INDR150493857NB,INDP0003857NB
2276,JUSTICE AND DEVELOPMENT COUNCIL,"KAMPALA;PLOT 1504 BLOCK 05 MULAGO,P.O BOX 22852 KAMPALA",KAMPALA,TO PROMOTE JUSTICE GOOD GOVERNANCE AND DEMOCRACY,INDR159445093NB,INDP0005093NB
2277,JUSTICE AND RECONCILIATION PROJECT,"GULU; PLOT 176, BLOCK 2 PIDA KORO; P.O.BOX 1216, GULU",COUNTRY WIDE,PROMOTING INTER-COMMUNITY AND NATIONAL RECONCILIATION AND UNITY.,INDR86024084NB,INDP80934084NB
2278,JUSTICE IS A RIGHT-UGANDA,,,,INDR13667705NB,INDP000705NB
2279,JUSTICE LIVELIHOODS HEALTH,"KAMPALA; PLOT 14B,SERUMAGA ROAD KALONDA ZONE ,BUKOTO","KAMPALA,KASESE,GULU","TO PROMETE RELIEF OF POVERTY,THE ADVANCEMENT OF HEAITH AND SAVING LIVES,RELIEF",FORR156994833NB,FORP0004833NB
2280,JUVENILES WELFARE SERVISES,"P.O. BOX 579, MUKONO","MUKONO, RAKAI",TO FOSTER DESTITUTE CHILDREN,INDR1273166NB,INDP7033166NB
2281,KAANA FOUNDATION FOR OUTREACH PROGRAMS,"P.O. BOX 818, FORT PORTAL",KABAROLE,TO PROMOTE SEXUAL REPRODUCTIVE HEALTH,INDR10999/2814NB,INDP108492814NB
2282,KABAGAMBE CHILDCARE FOUNDATION,KAMPALA; KASUBI-KAWALA; P.O. BOX 6477 KAMPALA,KAMPALA,CHILD PROTECTION AND FOOD SECURITY; EDUCATION SUPPORT TO CHILDREN; SPRITUAL WELB,INDR142631767NB,INDP0001767NB
2283,KABAKEDI SOLIDARITY FARM,,,,INDR149123751NB,INDP0003751NB
2284,KABALE CHERISHED AND REDEEMED MINISTRIES,"KABALE, MAKANGA,RWAMUKUNDI CELL,MWANJARI WARD,SOTHERN DIVISION,P.O.BOX 1144",KABALE,TO ESTABLISH A REHABILITATION CENTER FOR PROVISION OF DIVERSE PSYCHOSOCIAL SERVI,FORR161745371NB,FORP0005371NB
2285,KABALE CHERISHED& REDEEMED MINISTRIES,,KABALE,TO ESTABLISH A CHRISTIAN MINISTRY IN UGANDA,FORR0005371NB,FORR161745371NB
2286,KABALE CHRISTIAN CARE,"KABALE; HUMURA HOUSE,KABALE-KATUNA ROUND ABOUT; BOX 774 KABALE",KABALE,ADVOCATING AND STRENGHENING VULNERABLE AND MARGINALISED ADULTS AND ELDERLY,FORR155534612NB,FORP0004612NB
2287,KABALE ELDERLY COMMUNITY CONCERNS,"KABALE MUNICIPALITY SOUTHERN DIVISION ,P.O.BOX 1079 KABALE","KABALE,RUBANDA, KISORO, KANUNGU, RUKUNGIRI","TO HELP THE ELDERLY IMPROVE THEIR EMOTIONAL WELL-BEING AND QUALITY OF LIFE, TRAI",INDR165665854NB,INDP0005854NB
2288,KABALE MUNICIPALITY AND NDORWA COUNTY ELDERLY CARE,KABALE; PLOT 13 NYERERE AVENUE OPPOSITE KABALE SS; P.O. BOX 847 KABALE,"KABALE, KANUNGU, KISORO, RUKUNGIRI, RUKIIGA; RUBANDA AND NTUNGAMO",POVERTY ALLEVIATION AND WELFARE OF THE ELDERLY,INDR47801432NB,INDP44461432NB
2289,KABALEGA FOUNDATION,KAMPALA; HOIMA; P.O. BOX 22419 KAMPALA,COUNTRY WIDE,"TO PROMOTE CULTURAL RESEARCH , EDUCATION,ENVIRONMENTAL PROTECTION, CIVIL ADVOCAC",INDR152224158NB,INDP0004158NB
2290,KABAREEBE MODELS FOR CHARITY,KAMPALA; KAWEMPE KYEBANDO; P.O. BOX 20201 KAMPALA,COUNTRYWIDE,EDUCATION AND VOCATIONAL TRAINING; CAPACITY BUILDING; ADVANCING TRADITIONAL KNOW,INDR141721434NB,INDP0001434NB
2291,KABAROLE DEVELOPMENT INITIATIVE ORGANISATION FOR T,KABAROLE,KABAROLE,TO CONTRIBUTE TOWARDS THE REDUCTION OF HIV/AIDS INFECTION,INDR130755123NB,INDP123405123NB
2292,KABAROLE NGO'S AND CBO'S ASSOCIATION,"MAGURU A, MUCWA KIJANJU PARISH SOUTH DIVISION, FORTPORTAL MUNICIPALITY",KABAROLE,TO LOBBY AND ADVOCATE,INDR67392953NB,INDP62232953NB
2293,KABAROLE RESEARCH AND RESOURCE CENTRE,KABAROLE; PLOT 28 MUGURUSI ROAD; P.O. BOX 782 FORT PORTAL,COUNTRYWIDE,ESTABLISHIG A RESEARCH CENTRE FOR EFFECTIVE DATA MANAGEMENT,INDR19561412NB,INDP18021412NB
2294,KABEBE CHARITY ORGANISATION,"JINJA CITY-PLOT 12,NAKABANGO","JINJA,KAMULI","TO INCREASE THE LITERACY RATES AMONG THE VULNERABLE COMMUNITIES, INITIATE DEVEL",INDR164445728NB,INDP0005728NB
2295,KABERAMAIDO CHILD CARE ORGANISATION,"KABERAMAIDO,OTUBOI SUBCOUNTY",KABERMAIDO,TO PROVIDE HEALTH THROUGH IMPROVING ACCESS TO CLEAN AND SAFE DRINKING WATER,INDR80853603NB,INDP75633603NB
2296,KABERAMAIDO OPERATION SAVE THE NEEDY,KABERAMAIDO; DUBAI RD ARARAK A CELL; ARARAK WARD KABERAMAIDO TOWN COUNCIL; P.O.,KABERAMAIDO,PUBLIC HEALTH HIV/AIDS SERVICES; WATER AND SANITATION; FORMAL AND VOCATIONAL EDU,INDR57461840NB,INDP53461840NB
2297,KABUYANDA PENTECOSTAL CHURCH,,,,INDR13213246NB,INDP12899246NB
2298,KAD INITIATIVE UGANDA,KANUNGU; PLOT 1 MARKET STREET KIHIHI TOWN COUNCIL; P.O. BOX 7560 KANUNGU,COUNTRYWIDE,"PROMOTE HEALTH CARE, HUMAN RIGHTS, GOOD GOVERNANCE, ENVIRONMENTAL PROTECTION AND",INDR146262407NB,INDP0002407NB
2299,KADAFRICA,KABAROLE; PLOT 31 BLOCK 69 BWAMBA ROAD; P.O. BOX 229 FORT PORTAL,KABAROLE,IMPROVING AGRICULTURAL PRODUCTION; PROMOTINF SUSTAINABLE PRODUCTION SYSTEMS AND,FORR140181590NB,FORP0001590NB
2300,KADESH HOPE MISSION OF AFRICA,"LUWERO; BULEMEZI BLOCK 30 PLOT 106, KALULE VILL. NYIMBWA SUB-COUNTY",LUWERO,"TO OPEN UP VOCATIONAL TRAINING INSTITUTIONS, FOOD SECURITY, MEDICAL CAMPS, OVCS",FORR161705446NB,FORP0005446NB
2301,KADOTH REPRODUCTIVE AND CHILD HEALTH INITIATIVE,"KARUCUMITSI CELL KAREGYESA ROAD, PLOT 48",RUKUNGIRI,TO PROMOTE SAFE MOTHERHOOD,INDR113963028NB,INDP109503028NB
2302,KAFO FOUNDATION,,,,INDR13412514NB,INDP000514NB
2303,KAGIRI COMMUNITY DEVELOPMENT YOUTH PROJECT,,,,INDR150303912NB,INDP0003912
2304,KAGOTO FOUNDATION FOR DEVELOPMENT,"ISINGIRO; KAARO II CELL, NORTHERN WARD, KABUYANDA TOWN COUNCIL",ISINGIRO,"ENVIRONMENTAL PROTECTION, MODERN FARMING, TREE PLANTING AND RESEARCH",INDR145782482NB,INDP0002482NB
2305,KAGOTO FOUNDATION FOR DEVELOPMENT(KAFODA),"ISINGIRO DISTRICT, KAARO II NORTHERN WARD, KABUYANDA TOWN COUNCIL",ISINGIRO,TO PROTECT THE ENVIRONMENT,,
2306,KAGULU HILL CHARITY AND DEVELOPMENT ORGANISATION,"JINJA; JBC PLAZA, CLIVE RD EAST; P.O. BOX 1994 JINJA",JINJA,SUPPORTING VULNERABLESIN THE COMMUNITY,INDR161265399NB,INDP0005399NB
2307,KAGUMU DEVELOPMENT ORGANISATION,KIBUKU; KIBUKU-BULANGIRA RD; P.O. BOX 260 PALLISA,KIBUKU,PROVIDING HEALTH SERVICES AND JOB CREATION AND CONSERVATION ENVIRONMENT,INDR536466NB,INDP496466NB
2308,KAHODA DISASTER RESPONSE AND ENVIRONMENTAL MANAGEM,"MBALE, PLOT 37 WANALE ROAD SENIOR QUARTERS INDUSTRIAL CITY DIVISION, P.O.BOX 665",MBALE,"TO MOBILIZE RESOURCE AND ESTABLISH INCOME GENERATING ACTIVITIES , TO THE COMMUNI",INDR164975799NB,INDP0005799NB
2309,KAIROS INTERNATIONAL INC,"KAMPALA; PLOT 19/27, SERUNKUMA ROAD, MBUYA; P.O BOX 37690 KAMPALA",KAMPALA,"PROVIDING MENTORSHIP FOR YOUNG ,ADULTS IN DEVELOPNIG NATIONS",INTR141312081NB,INTP0002081
2310,KAJJANSI CHILDREN'S VILLAGE,WAKISO; KAJJANSI TOWN COUNCIL; P.O BOX 3188 KAMPALA,WAKISO,"SUPPORT EDUCATION AND BASIC NECESSITIES; ADVOCATE FOR CHILDRE'S RIGHTS, HEALTHCA",INDR141661506NB,INDP0001506NB
2311,KAJOKO RISE AND SHINE,"KIBUKU; LERYA B VILLAGE,OFF MBALE-KIBUKU ROAD,KAJOKO SUB-PARISH,NABISWA",KIBUKU,TO SAFE GUARD THE RIGHTS OF THE GIRL CHILD,INDR156625373NB,INDP0005373NB
2312,KAJOKO RISE AND SHINE FOUNDATION,P.O BOX 23985 KAMPALA,KAJOKO,PROMOTE ECONOMIC INDEPENDENCE OF THE GIRL CHILD THROUGH EDUCATION AND ENTREPRENE,INDR156625373NB,INDP0005373NB
2313,KAJOMA CHILD PROSPERITY CENTRE,"WAKISO; BUSEMBE-MAYA PLOT 116/117, BLOCK 460 BUSEMBE-MAYA",WAKISO,BUILD THE CAPACITY OF VULNERABLE COMMUNITIES,INDR155274578NB,INDP0004578NB
2314,KAKAIRE FOUNDATION,WAKISO; KIREKU ZONE BWEYOGERERE WARD BWEYOGERERE DIVISION KIRA MUNICIPALITY; P.O,"KAMPALA, BUGIRI AND BUGWERI",PROVIDING EDUCATION OPPORTUNITIES TO THE NEEDY CHILDREN AND REHABILITATION; ADVO,INDR141161679NB,INDP0001679NB
2315,KAKINDO INTERGRATED WOMEN DEVELOPMENT AGENCY,BULIISA; KAKINDO CELL NORTHERN WARD BULIISA T/COUNCIL; BOX 228 MASINDI,BULIISA,"EMPOWERING LOCAL COMMUNITIES, PROMOTION OF FOOD SECURITY",INDR119582841NB,INDP115492841NB
2316,KAKIRA OUTGROWERS RURAL DEVELOPMENT FUND,P.O.BOX 7259 KAMPALA,JINJA CITY,TO IMPROVE THE SOCIAL-ECONOMIC WELLING OF CANE FARMING COMMUNITIES IN BUSOGA REG,INDP53825530NB,INDR58575530NB
2317,KALANGALA DISTRICT FORUM OF PEOPLE LIVING WITH HIV,KALANGALA; BUGGALA ROAD KALANGALA TOWN COUNCIL; P.O. BOX 41 KALANGALA,KALANGALA,"FIGHT AGAINST HIV/AIDS; LOBBY GOVERNMENT POLICIES; M&E, PROTECTION AND ADVOCATIN",INDR94851518NB,INDP92221518NB
2318,KALANGALA DISTRICT NGO FORUM,,,,INDR83933038NB,INDP79203038NB
2319,KALEKE KASOME FOUNDATION,MPIGI; MPIGI TOWN COUNCIL; MAYEMBE UPPER BETWEEN NSAMIZI TRAINING INSTITUTE AND,MPIGI,PROMOTE AND DEFEND THE RIHTS OF CHILDREN; LIFE SKILLS TRAINING; VOCATIONAL TRAIN,INDR142621771NB,INDP0001771NB
2320,KALIBVILLE COOPERATIVE COMMUNITY,"WAKISO DISTRICT,KIKANDWA VILLAGE,KAKIRI SUBCOUNTY",WAKISO,TO IMPROVE CHARITY WORK AMONGEST NEEDY AND DIADVANTAGED CHILDREN,INDR130012163NB,INDP127252163NB
